,id,city,hotel,url,score,description,latitude,longitude
20,1,Mont Saint Michel,Chambres d'Hôtes Les Vieilles Digues,https://www.booking.com/hotel/fr/chambres-d-ha-tes-les-vieilles-digues.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AqbJwIsGwAIB0gIkNmVmMzgzMDMtNzU2OS00Yjg1LTlkNTctY2YzZDE2YWRjMzkw2AIF4AIB&sid=8dfee64964e80e904ad7ba4d18439239&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=cd2e5ff56bb60211&srepoch=1634909932&from=searchresults&from_sr_card=1,9.4,"Set in a renovated Breton-style house, this family-run B&B is located in Beauvoir, 3 km from Mont-Saint-Michel. ",48.6041875,-1.51159912
21,1,Mont Saint Michel,Apparthôtel Mont Saint Michel - Résidence Fleurdumont,https://www.booking.com/hotel/fr/residence-fleurdumont.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AqbJwIsGwAIB0gIkNmVmMzgzMDMtNzU2OS00Yjg1LTlkNTctY2YzZDE2YWRjMzkw2AIF4AIB&sid=8dfee64964e80e904ad7ba4d18439239&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=cd2e5ff56bb60211&srepoch=1634909932&from=searchresults&from_sr_card=1,8.0,Résidence Fleurdumont offers pet-friendly accommodation in Beauvoir. Mont Saint Michel Abbey is 4.4 km away. ,48.59648217,-1.50314692
22,1,Mont Saint Michel,Auberge de la Baie,https://www.booking.com/hotel/fr/auberge-de-la-baie.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AqbJwIsGwAIB0gIkNmVmMzgzMDMtNzU2OS00Yjg1LTlkNTctY2YzZDE2YWRjMzkw2AIF4AIB&sid=8dfee64964e80e904ad7ba4d18439239&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=cd2e5ff56bb60211&srepoch=1634909932&from=searchresults&from_sr_card=1,8.4,This hotel is situated in the countryside of Normandy and offers free Wi-Fi and an on-site restaurant with a terrace. ,48.61599318,-1.48825318
23,1,Mont Saint Michel,Auberge Saint Pierre,https://www.booking.com/hotel/fr/auberge-saint-pierre.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AqbJwIsGwAIB0gIkNmVmMzgzMDMtNzU2OS00Yjg1LTlkNTctY2YzZDE2YWRjMzkw2AIF4AIB&sid=8dfee64964e80e904ad7ba4d18439239&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=cd2e5ff56bb60211&srepoch=1634909932&from=searchresults&from_sr_card=1,8.1,Auberge Saint Pierre is a 14th-century half-timbered house located on Mont St Michel tidal island. It combines the period charm of exposed beams with modern comforts including TV and free Wi-Fi...,48.63568798,-1.50988251
24,1,Mont Saint Michel,La Mère Poulard,https://www.booking.com/hotel/fr/la-mere-poulard.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AqbJwIsGwAIB0gIkNmVmMzgzMDMtNzU2OS00Yjg1LTlkNTctY2YzZDE2YWRjMzkw2AIF4AIB&sid=8dfee64964e80e904ad7ba4d18439239&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=cd2e5ff56bb60211&srepoch=1634909932&from=searchresults&from_sr_card=1,7.3,"Housed in a historical building, this hotel is ideally located in the heart of Mont Saint-Michel. The classic-style rooms overlook the bay, the abbey or the medieval city. ",48.63508532,-1.51053965
25,1,Mont Saint Michel,Le Clos Saint Gilles,https://www.booking.com/hotel/fr/le-clos-saint-gilles-pontorson.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AqbJwIsGwAIB0gIkNmVmMzgzMDMtNzU2OS00Yjg1LTlkNTctY2YzZDE2YWRjMzkw2AIF4AIB&sid=8dfee64964e80e904ad7ba4d18439239&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=34&sr_order=popularity&srpvid=23ae5ff7014502ae&srepoch=1634909936&from=searchresults&from_sr_card=1,9.5,Managed by a private host,48.59067584,-1.4661815
26,1,Mont Saint Michel,Hôtel Vert,https://www.booking.com/hotel/fr/vert.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AqbJwIsGwAIB0gIkNmVmMzgzMDMtNzU2OS00Yjg1LTlkNTctY2YzZDE2YWRjMzkw2AIF4AIB&sid=8dfee64964e80e904ad7ba4d18439239&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=0&hapos=25&sr_order=popularity&srpvid=23ae5ff7014502ae&srepoch=1634909936&from=searchresults&from_sr_card=1,8.1,"Hotel Vert offers pastel-coloured rooms with a private bathroom, TV and free Wi-Fi access. It is located 2 km from the Mont Saint-Michel tidal island on the Normandy Coast. ",48.61470049,-1.50961697
27,1,Mont Saint Michel,Angel Chambres d'hotes,https://www.booking.com/hotel/fr/angel-chambres-d-39-hotes.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AqbJwIsGwAIB0gIkNmVmMzgzMDMtNzU2OS00Yjg1LTlkNTctY2YzZDE2YWRjMzkw2AIF4AIB&sid=8dfee64964e80e904ad7ba4d18439239&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=33&sr_order=popularity&srpvid=23ae5ff7014502ae&srepoch=1634909936&from=searchresults&from_sr_card=1,9.5,"Featuring free WiFi and a sun terrace, Angel Chambres d'hotes is located in Pontorson, 38 km from Saint Malo. ",48.55151982,-1.51256189
28,1,Mont Saint Michel,Maison d'Hôtes Les Belles de Mai,https://www.booking.com/hotel/fr/maison-d-hates-les-belles-de-mai.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AqbJwIsGwAIB0gIkNmVmMzgzMDMtNzU2OS00Yjg1LTlkNTctY2YzZDE2YWRjMzkw2AIF4AIB&sid=8dfee64964e80e904ad7ba4d18439239&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=32&sr_order=popularity&srpvid=23ae5ff7014502ae&srepoch=1634909936&from=searchresults&from_sr_card=1,9.4,"Located in Pontorson, Maison d'Hôtes Les Belles de Mai offers a garden and a furnished terrace with seating area, just 9.4 km away from Mont-Saint-Michel. Free Wi-Fi is provided throughout the B&B. ",48.55499856,-1.50954187
29,1,Mont Saint Michel,Au p'tit Mont,https://www.booking.com/hotel/fr/au-p-39-tit-mont.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AqbJwIsGwAIB0gIkNmVmMzgzMDMtNzU2OS00Yjg1LTlkNTctY2YzZDE2YWRjMzkw2AIF4AIB&sid=8dfee64964e80e904ad7ba4d18439239&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=31&sr_order=popularity&srpvid=23ae5ff7014502ae&srepoch=1634909936&from=searchresults&from_sr_card=1,9.4,"Au p'tit Mont is set in Ardevon, 41 km from Saint Malo and 6 km from Le Mont Saint Michel. Free WiFi is provided throughout the property and free private parking is available on site. ",48.5910988,-1.46617603
